C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/MultiProgExponents.py
32768
         10800 function calls (10513 primitive calls) in 0.098 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 warnings.py:432(catch_warnings)
        1    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:290(update)
        1    0.000    0.000    0.000    0.000 weakref.py:324(KeyedRef)
        1    0.000    0.000    0.000    0.000 weakref.py:345(WeakKeyDictionary)
        1    0.000    0.000    0.000    0.000 weakref.py:356(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:36(WeakMethod)
        2    0.000    0.000    0.000    0.000 weakref.py:476(popitem)
        1    0.000    0.000    0.000    0.000 weakref.py:502(finalize)
        1    0.000    0.000    0.000    0.000 weakref.py:527(_Info)
        1    0.000    0.000    0.000    0.000 weakref.py:6(<module>)
        1    0.000    0.000    0.000    0.000 weakref.py:90(WeakValueDictionary)
       29    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE53417B30}
       29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       24    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
       28    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      196    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        5    0.004    0.001    0.004    0.001 {built-in method _imp.create_dynamic}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       32    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       35    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      196    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       93    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       87    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       15    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.ConnectNamedPipe}
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateFile}
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CreateNamedPipe}
        3    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
        3    0.004    0.001    0.004    0.001 {built-in method _winapi.CreateProcess}
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.DuplicateHandle}
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
